id,arq.Municipio,arq.Nombre
037d293f-dec4-409d-b2e0-adc9ede73b1d,Telchac,Parroquia (ex convento) de San Francisco de Asís
3660248c-3aaf-4715-adce-14951db35224,Motul,San Juan Bautista
e9a9f9e0-d8bf-4eba-af23-a0fe46fb53af,Mérida,Iglesia de la Sagrada Familia
74bbbd9a-9165-48d8-83dd-63c5e196add5,Sinanché,San Buenaventura
603a4ca5-b86c-43a9-930c-9cb93bfc3a5c,Muxupip,Santiago Apóstol
5903ed94-9ba4-4152-be1c-1c3a34021878,Tekax,Parroquia (ex convento) de San Juan Bautista
bdc99b82-a64d-40c1-85f8-cf78e9217aa8,Tixkokob,San Bartolomé apóstol
139f77de-b8fc-43a1-9dfd-51743d5d0db7,Motul,San Antonio
86a22de5-603f-435a-ada6-0b8d2ca667d9,Teabo,San Pedro y San Pablo
27ddc766-6518-4fd4-921b-4aa7696c5617,Mérida,Santuario de Sagrado Corazón de Jesús
d88e7690-1074-4321-a4d0-cfafd56878f2,Peto,San Luis Obispo
cb290d50-0778-439c-b205-c82afb3fdc68,Tekit,San Antonio de Padua
74c8272d-eb48-45ad-81ab-02939a6c7d27,Sotuta,La Concepción
aaae1749-00b7-4f5d-a22b-24f7385022d2,Oxcutzcab,Parroquia (ex convento) de San Francisco de Asís
b299d033-9e2b-4318-a3fa-0c33c392b547,Temozón,La Asunción
8d3de8ec-4283-4947-82bd-31b200c773bb,Tekantó,San Agustín
d7ac6d60-1145-411e-874f-e72b2c84797c,Tecoh,La Purísima Concepción
d873c6e3-b7d4-4711-8e84-ac6e9a976066,Seyé,San Bartolomé
4ffd1804-efb9-4e13-8819-7b0609b1f343,Tizimin,Parroquia (ex convento) de San Francisco
6bbcf91b-c178-4911-a5bc-9ae0f9f59242,Ticul,Parroquia (ex convento) de San Antonio de Padua
37fe11eb-eaf9-4061-a086-90dba6bde486,Tekax,Ermita de San Diego
436721b6-459f-4859-a5d0-c01991a45eca,Uayma,Templo (ex convento) de Santo Domingo
c85f8f42-497c-421a-a86c-5b9888b4f644,Tinum,San Antonio de Padua
7d981279-b788-4c6e-a0f7-53e34d0bdb94,Tekom,San Pedro y san Pablo
a2a47e0c-e43b-4ce4-9b51-4b63685234b9,Tixcacalcupul,Santiago Apóstol
c25f4914-0ce2-4b34-a5ec-f8efa19ec222,Ticul,La Asunción
b9d4b27b-4688-4ac4-a73d-5af3849cba4c,Tixkokob,Parroquia (ex convento) de San Bernardino
a5994317-71f1-419c-89d7-29498a391c87,Tizimin,Parroquia (ex convento) Los Santos Reyes
bab215d7-e359-4d64-baf2-fcac428f31fb,Timucuy,San Gaspar
ecc3cfb8-8b2e-43d6-9e12-cf7349294360,Valladolid,San Andrés
e0a471c5-d415-4ae3-b09d-a47789df03ab,Umán,San Francisco de Asís
4614492c-6b76-43a1-b8e8-415337f8fd18,Tixcacalcupul,Los Tres Reyes
f5c32dbf-1977-4b71-b4b8-2aabb6259562,Valladolid,Santa Ana
b55c64ef-b4da-45db-85a1-2c5f8ec3f75b,Valladolid,Parroquia (ex convento) de San Bernardino de Siena
bb316e05-189b-4ed5-9833-be395dd761e6,Valladolid,San Servacio o Gervasio
ac518e12-6c39-461b-89d6-6fde70beb5fb,Yaxcabá,San Francisco
43ef96c0-f714-46da-8a4c-6f113c3fd929,Yaxcabá,San Pedro
ce9392b4-f300-4cc4-82d8-c6583fae38a3,Yobaín,San Lorenzo
