id,arq.Municipio,arq.Nombre
e6bfac94-7afc-44b7-9ea9-561d1801107c,Tekax,Parroquia (ex convento) de San Juan Bautista
f69ea5da-20f3-437c-836e-869f639b81dc,Tekax,Ermita de San Diego
ed73ac54-d7c9-4caf-97e2-d4ce89645f92,Tekit,San Antonio de Padua
81c91f4c-793c-487e-831b-4bb96376e437,Tekom,San Pedro y san Pablo
7cf35133-3185-4d27-8d0c-4e7d13afc775,Temozón,La Asunción
49ffb5a4-7115-4412-8972-55e53e0d01b9,Ticul,La Asunción
1ac0be23-538c-464d-99d6-5f7c4211ee5d,Ticul,Parroquia (ex convento) de San Antonio de Padua
3c0125bb-52b5-4081-8349-26c09ce3cae1,Timucuy,San Gaspar
ae135342-99ce-43f6-8adc-a60020b21d55,Tinum,San Antonio de Padua
9a237059-2484-492e-8804-db3775f21869,Tixcacalcupul,Los Tres Reyes
bdb690a0-ea36-4426-94d3-df3d0ab308ce,Tixcacalcupul,Santiago Apóstol
c060b07e-1569-4dfc-ba60-3f5a431e7988,Tixkokob,San Bartolomé apóstol
0b9f1709-ed46-4b10-ad2a-3b8a01aca3a8,Tixkokob,Parroquia (ex convento) de San Bernardino
6a8a6ed6-f8f4-4fa7-a681-8aac2606630a,Tizimin,Parroquia (ex convento) de San Francisco
1d176a1c-96de-4e10-a651-6d4f54c49c05,Tizimin,Parroquia (ex convento) Los Santos Reyes
6c2b8377-f49f-44ac-a2bf-405aaeebdcc2,Uayma,Templo (ex convento) de Santo Domingo
432cc1ae-8990-40a9-aa18-91335bc988f1,Umán,San Francisco de Asís
9dd3f2c1-d5a5-4e5f-a4ed-c4e21b34a5e2,Valladolid,San Andrés
5f4b8f24-6347-4fb3-b8a0-83b6e8374b49,Valladolid,Santa Ana
3b3c7423-1ef3-422f-bc93-05c8f423a83d,Valladolid,Parroquia (ex convento) de San Bernardino de Siena
5d44f24f-a1d1-4e2e-ab21-96e7ddfeb92b,Valladolid,San Servacio o Gervasio
31395fc4-63a6-48cc-af61-1ab92784d02b,Yaxcabá,San Francisco
21152bb0-105a-46cb-a8f6-52aaedeba942,Yaxcabá,San Pedro
8b0ec527-ed45-46f3-94c1-f655f113a459,Yobaín,San Lorenzo
a8224019-19ec-4dea-8552-514087cb2451,Calkiní,Nuestra Señora de la Natividad
d3690509-2ffe-4c6e-9f11-5eb042be0029,Calkiní,San Luis Obispo de Tolosa
91f2a0d8-5ab7-40e7-8e19-91278284af46,Calkiní,La Asunción
e0d35ca0-dfe3-43f2-aefd-f3e697d6ff6e,Calkiní,San Bartolomé
c4a0fee6-741c-4fd1-b00d-cf07061a0d29,Hecelchakán,San Francisco de Asís
57e743f6-b90e-40cd-9712-433cd76df30e,Hecelchakán,Los Santos Reyes
f80b1263-c397-4bdb-80cf-84500bf495de,Hecelchakán,La Purísima Concepción
95d37b1c-68f0-44ab-8778-30a62ca03f0a,Tenabo,La Asunción
8edeeca8-fd26-4c16-aa67-d773d252b64b,Campeche,San Francisco de Asís
a6025e2a-ce67-4449-8b1a-f1f2282192b0,Felipe Carrillo Puerto,Santo Niño Jesús
3fdedc71-0dd4-427f-867a-ccaacba9d02f,Jose María Morelos,San Francisco de Asís
9567a5a1-591f-4515-b8ca-6526144fc34c,Jose María Morelos,La Asunción de Nuestra Señora
a942bea4-82d4-49f2-a00b-4ceb7294044e,Jose María Morelos,San Pedro Apóstol
