id,arq.Municipio,arq.Nombre
0ded5094-36bc-4aee-ba5e-27fd4f943361,Seyé,San Bartolomé
7ab4afc4-3a7c-42f0-a25a-245d3888306b,Sinanché,San Buenaventura
1182956d-7556-4784-88dc-4a83fba8ffd5,Sotuta,La Concepción
639ef8f5-5837-44fd-9f88-1bda4969409f,Suma,San Bartolomé Apóstol
7143753d-1ba7-4152-98d4-3a3992c903f2,Teabo,San Pedro y San Pablo
f12f0209-acb6-4acc-8c1f-b5a9c497ac8c,Tecoh,La Asunción
3e109b12-57f9-45c9-b213-a48748e57104,Tecoh,La Purísima Concepción
8505cb48-2095-460d-982c-1bf20f0a96df,Telchac,Parroquia (ex convento) de San Francisco de Asís
366704bd-a486-4048-a953-98bc62e4c712,Tekantó,San Agustín
a2e967af-80e8-456b-83a8-b633f8d16d29,Tekax,Parroquia (ex convento) de San Juan Bautista
b879007d-83e9-4e0a-91a8-73e10625ecd3,Tekax,Ermita de San Diego
bf0efa70-7315-4b63-aaa8-d2d7af0b667a,Tekit,San Antonio de Padua
e5473f78-49f0-4d96-a1e8-b9547a78726e,Tekom,San Pedro y san Pablo
d080a89b-b7dc-4b7c-8a5f-6ecb1c847f47,Temozón,La Asunción
1dcaf8fe-e338-4219-8b90-970c70b2cf8d,Ticul,La Asunción
cad9dcf6-4832-4f3a-b24d-4856e89a0be8,Ticul,Parroquia (ex convento) de San Antonio de Padua
8c5ec194-96b0-4350-bde2-2414dcf8ca73,Timucuy,San Gaspar
72dc6ceb-6d7b-440d-9f5f-a8f6105093b9,Tinum,San Antonio de Padua
ba805043-a576-4bcb-b064-9248c70aa5a6,Tixcacalcupul,Los Tres Reyes
1fdad8b0-5529-4cbd-9589-7ba5d92104c5,Tixcacalcupul,Santiago Apóstol
e9338099-926b-4876-a750-7d77509dede1,Tixkokob,San Bartolomé apóstol
77de095b-3f15-4eec-a1eb-dc3ec6823981,Tixkokob,Parroquia (ex convento) de San Bernardino
4a97b0b5-947c-4fcd-a324-4232612f5815,Tizimin,Parroquia (ex convento) de San Francisco
fc37d267-b012-4663-a684-ee573861a6ed,Tizimin,Parroquia (ex convento) Los Santos Reyes
7d4b544e-a3f4-4c18-8255-93c0f5dcf775,Uayma,Templo (ex convento) de Santo Domingo
4215162e-e611-4362-aa34-efdac50372e9,Umán,San Francisco de Asís
5c6813d7-8010-4726-a6ec-987049ee9acc,Valladolid,San Andrés
91d3d545-a55d-4118-b035-0ce8fd72d493,Valladolid,Santa Ana
2d5fc67b-ef40-40ac-ac3b-9997ff326e51,Valladolid,Parroquia (ex convento) de San Bernardino de Siena
db0b6f21-60e1-407f-8f74-810257143b86,Valladolid,San Servacio o Gervasio
0efa8657-241e-4d60-9e9b-5e909234e0d8,Yaxcabá,San Francisco
12dcd1a6-669f-4578-8e9b-af96cb1aa526,Yaxcabá,San Pedro
31d61506-fbc3-4332-96e8-e51a0b9d2628,Yobaín,San Lorenzo
